;Establiments. Establiments hotelers;Establiments. Càmpings;Establiments. Turisme rural;Establiments. Total;Places. Establiments hotelers;Places. Càmpings;Places. Turisme rural;Places. Total
Alt Camp;7;0;61;68;422;0;505;927
Alt Empordà;233;33;159;425;15054;35187;1387;51628
Alt Penedès;25;0;92;117;764;0;743;1507
Alt Urgell;42;8;98;148;1514;2625;671;4810
Alta Ribagorça;46;5;73;124;1791;1080;413;3284
Anoia;16;1;81;98;717;90;493;1300
Aran;112;9;19;140;6491;3069;188;9748
Bages;30;5;77;112;1194;1149;608;2951
Baix Camp;71;17;44;132;11911;22998;391;35300
Baix Ebre;36;4;59;99;2861;4119;380;7360
Baix Empordà;205;43;112;360;15562;60234;980;76776
Baix Llobregat;87;2;3;92;10928;3042;29;13999
Baix Penedès;34;4;16;54;4390;4200;145;8735
Barcelonès;787;0;0;787;88174;0;0;88174
Berguedà;47;19;166;232;1048;8046;1620;10714
Cerdanya;62;7;63;132;3230;4524;478;8232
Conca de Barberà;20;2;46;68;791;1284;355;2430
Garraf;70;6;6;82;5718;8526;67;14311
Garrigues;7;0;9;16;92;0;79;171
Garrotxa;47;18;140;205;1193;3990;1196;6379
Gironès;59;3;63;125;3146;738;539;4423
Maresme;158;30;24;212;32417;18876;197;51490
Moianès;8;1;30;39;147;390;249;786
Montsià;33;5;31;69;1554;2400;293;4247
Noguera;25;3;61;89;682;1455;527;2664
Osona;50;9;142;201;1975;3141;1282;6398
Pallars Jussà;18;5;63;86;699;1794;524;3017
Pallars Sobirà;60;22;103;185;2835;7842;702;11379
Pla d'Urgell;7;0;13;20;217;0;125;342
Pla de l'Estany;15;3;108;126;403;1623;902;2928
Priorat;24;3;47;74;393;951;378;1722
Ribera d'Ebre;16;2;32;50;434;333;207;974
Ripollès;68;14;147;229;2512;5013;1058;8583
Segarra;9;0;50;59;251;0;392;643
Segrià;33;1;11;45;2852;111;85;3048
Selva;248;27;69;344;43757;22905;687;67349
Solsonès;26;6;125;157;717;2319;872;3908
Tarragonès;130;25;14;169;42415;32988;95;75498
Terra Alta;16;3;33;52;578;561;281;1420
Urgell;8;0;34;42;371;0;294;665
Vallès Occidental;56;0;3;59;6879;0;30;6909
Vallès Oriental;69;8;61;138;3985;2739;516;7240
Catalunya;3120;353;2588;6061;323064;270342;20963;614369
Metropolità;1159;41;97;1297;142405;25047;828;168280
Comarques Gironines;875;141;798;1814;81627;129690;6749;218066
Camp de Tarragona;252;47;212;511;55932;58221;1724;115877
Terres de l'Ebre;101;14;155;270;5427;7413;1161;14001
Ponent;89;4;178;271;4465;1566;1502;7533
Comarques Centrals;162;39;576;777;5101;14655;4832;24588
Alt Pirineu i Aran;340;56;419;815;16560;20934;2976;40470
Penedès;142;11;153;306;11547;12816;1191;25554
Barcelona;1394;78;676;2148;153627;45051;5748;204426
Girona;920;147;844;1911;84214;132708;7128;224050
Lleida;419;63;685;1167;19474;22749;5057;47280
Tarragona;387;65;383;835;65749;69834;3030;138613
